ApprovalID,ReportID,StepOrder,StepName,ApproverID,ApproverName,Decision,DecisionTimestamp,Comment
APR-1,00033643-ab3c-4c37-a7ac-ac88400f7ff1,1.0,Manager,manager_bdd640fb@example.com,Daniel Doyle,APPROVE,2024-05-05T23:00:00,
APR-2,00033643-ab3c-4c37-a7ac-ac88400f7ff1,2.0,Finance,finance_8b9d2434@example.com,Javier Johnson,APPROVE,2024-05-08T13:00:00,
APR-3,00033643-ab3c-4c37-a7ac-ac88400f7ff1,3.0,Finance_Recon,finance_9a1de644@example.com,Cristian Santos,APPROVE,2024-05-10T13:00:00,Finance reconciliation completed
APR-4,00041e7d-3095-4452-b3cf-cbe430cedb3b,1.0,Manager,manager_72ff5d2a@example.com,Rhonda Smith,APPROVE,2025-09-13T00:00:00,
APR-5,00041e7d-3095-4452-b3cf-cbe430cedb3b,2.0,Finance,finance_6c307511@example.com,Christopher Bernard,APPROVE,2025-09-18T10:00:00,
APR-6,00041e7d-3095-4452-b3cf-cbe430cedb3b,3.0,Finance_Recon,finance_6142ea7d@example.com,Ryan Munoz,APPROVE,2025-09-21T23:00:00,Finance reconciliation completed
APR-7,000edf84-9318-49aa-93b1-5870e69aad3e,1.0,Manager,manager_759cde66@example.com,Valerie Gray,APPROVE,2024-10-03T08:00:00,
APR-8,000edf84-9318-49aa-93b1-5870e69aad3e,2.0,Finance_Recon,finance_a0ee89ae@example.com,Shannon Ray,APPROVE,2024-10-04T09:00:00,Finance reconciliation completed
APR-9,00127864-9b52-4b54-a514-410693d9a4dc,1.0,Manager,manager_a9488d99@example.com,Dylan Miller,APPROVE,2025-09-08T08:00:00,
APR-10,00127864-9b52-4b54-a514-410693d9a4dc,2.0,Finance,finance_614ff3d7@example.com,Mark Diaz,APPROVE,2025-09-09T08:00:00,
APR-11,00127864-9b52-4b54-a514-410693d9a4dc,3.0,Finance_Recon,finance_ab9099a4@example.com,Timothy Wong,APPROVE,2025-09-12T07:00:00,Finance reconciliation completed
APR-12,001e2e66-effa-4265-81e8-563fc01e0fa1,1.0,Manager,manager_88bd6407@example.com,Carla Gray,APPROVE,2024-07-17T23:00:00,
APR-13,001e2e66-effa-4265-81e8-563fc01e0fa1,2.0,Finance,finance_b02b61c4@example.com,Melinda Cameron,APPROVE,2024-07-21T09:00:00,
APR-14,001e2e66-effa-4265-81e8-563fc01e0fa1,3.0,Finance_Recon,finance_d261a7ab@example.com,Ethan Adams,APPROVE,2024-07-25T02:00:00,Finance reconciliation completed
APR-15,001ef4e3-4ec0-4141-9e4f-fe48c4f19fb4,1.0,Manager,manager_9132b63e@example.com,Emily Rios,APPROVE,2023-12-12T02:00:00,
APR-16,001ef4e3-4ec0-4141-9e4f-fe48c4f19fb4,2.0,Finance,finance_a491f0b2@example.com,Derek Wright,REJECT,2023-12-14T19:00:00,
APR-17,0027f2ca-eecf-41d6-95ac-6affca75d32a,1.0,Manager,manager_bf3c4c06@example.com,Stephanie Ross,APPROVE,2025-01-30T20:00:00,
APR-18,0027f2ca-eecf-41d6-95ac-6affca75d32a,2.0,Finance_Recon,finance_2369b584@example.com,Ann Williams,APPROVE,2025-02-02T07:00:00,Finance reconciliation completed
APR-19,003570ea-6c3f-49c0-aa19-53d339d03ea6,1.0,Manager,manager_28f49481@example.com,Jennifer Brown,APPROVE,2024-11-13T08:00:00,
APR-20,003570ea-6c3f-49c0-aa19-53d339d03ea6,2.0,Finance_Recon,finance_77d21e02@example.com,Tricia Valencia,APPROVE,2024-11-15T04:00:00,Finance reconciliation completed
APR-21,00381332-ec62-4f74-9d55-30a311dba80f,1.0,Manager,manager_1d53434b@example.com,Kimberly Adams,APPROVE,2023-10-12T17:00:00,
APR-22,00381332-ec62-4f74-9d55-30a311dba80f,2.0,Finance,finance_4b22d308@example.com,Jesse Mckay,APPROVE,2023-10-16T16:00:00,
APR-23,00381332-ec62-4f74-9d55-30a311dba80f,3.0,Finance_Recon,finance_f8cda88b@example.com,Cassandra Gaines,APPROVE,2023-10-19T09:00:00,Finance reconciliation completed
APR-24,0041a2ab-472c-4c8c-aa86-f04b48e5b8eb,1.0,Manager,manager_d777a477@example.com,Lisa Hernandez,APPROVE,2024-04-27T07:00:00,
APR-25,0041a2ab-472c-4c8c-aa86-f04b48e5b8eb,2.0,Finance,finance_f4188f3f@example.com,Kerry Smith,APPROVE,2024-05-01T12:00:00,
APR-26,0041a2ab-472c-4c8c-aa86-f04b48e5b8eb,3.0,Finance_Recon,finance_1ca35cfb@example.com,Sherry Decker,APPROVE,2024-05-05T01:00:00,Finance reconciliation completed
APR-27,004bf5a0-c4d8-463e-85e9-038cd72ef5de,1.0,Manager,manager_3da9c2a9@example.com,Theresa Miller,REJECT,2024-08-03T12:00:00,
APR-28,00590874-132b-4976-9892-3b46a3f38573,1.0,Manager,manager_fa5d3100@example.com,Pamela Anderson,APPROVE,2025-08-27T04:00:00,
APR-29,00590874-132b-4976-9892-3b46a3f38573,2.0,Finance_Recon,finance_2a45c2ab@example.com,Shane Henderson,APPROVE,2025-08-30T16:00:00,Finance reconciliation completed
APR-30,005ba28d-f5a5-4e7d-af60-cd63d388e73e,1.0,Manager,manager_c1590f53@example.com,Christina Collins,APPROVE,2025-08-21T18:00:00,
APR-31,005ba28d-f5a5-4e7d-af60-cd63d388e73e,2.0,Finance,finance_5f987c71@example.com,Joseph Martinez,APPROVE,2025-08-24T01:00:00,
APR-32,005ba28d-f5a5-4e7d-af60-cd63d388e73e,3.0,Finance_Recon,finance_05628059@example.com,Crystal Robinson,APPROVE,2025-08-24T05:00:00,Finance reconciliation completed
APR-33,005e377f-5cd5-49f5-ad0f-c5132d106a78,1.0,Manager,manager_0f1259e0@example.com,Taylor Heath,APPROVE,2024-01-02T21:00:00,
APR-34,005e377f-5cd5-49f5-ad0f-c5132d106a78,2.0,Finance_Recon,finance_474a493b@example.com,Cindy Anderson,APPROVE,2024-01-06T02:00:00,Finance reconciliation completed
APR-35,00649060-db22-4827-8cf8-c11b02eb476b,1.0,Manager,manager_93829b43@example.com,Richard Aguirre,APPROVE,2025-07-04T16:00:00,
APR-36,00649060-db22-4827-8cf8-c11b02eb476b,2.0,Finance_Recon,finance_a8b317fa@example.com,Jeff Owens,APPROVE,2025-07-06T04:00:00,Finance reconciliation completed
